2022-10-25 09:23:36 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 install libsqlite3-0:amd64 <none> 3.34.1-3
2022-10-25 09:23:36 status half-installed libsqlite3-0:amd64 3.34.1-3
2022-10-25 09:23:36 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-10-25 09:23:36 install gpg:amd64 <none> 2.2.27-2+deb11u2
2022-10-25 09:23:36 status half-installed gpg:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 status unpacked gpg:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 install libncursesw6:amd64 <none> 6.2+20201114-2
2022-10-25 09:23:36 status half-installed libncursesw6:amd64 6.2+20201114-2
2022-10-25 09:23:36 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-10-25 09:23:36 install pinentry-curses:amd64 <none> 1.1.0-4
2022-10-25 09:23:36 status half-installed pinentry-curses:amd64 1.1.0-4
2022-10-25 09:23:36 status unpacked pinentry-curses:amd64 1.1.0-4
2022-10-25 09:23:36 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2022-10-25 09:23:36 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2022-10-25 09:23:36 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2022-10-25 09:23:36 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:36 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2022-10-25 09:23:37 install gnupg:all <none> 2.2.27-2+deb11u2
2022-10-25 09:23:37 status half-installed gnupg:all 2.2.27-2+deb11u2
2022-10-25 09:23:37 status unpacked gnupg:all 2.2.27-2+deb11u2
2022-10-25 09:23:37 startup packages configure
2022-10-25 09:23:37 configure libksba8:amd64 1.5.0-3+deb11u1 <none>
2022-10-25 09:23:37 status unpacked libksba8:amd64 1.5.0-3+deb11u1
2022-10-25 09:23:37 status half-configured libksba8:amd64 1.5.0-3+deb11u1
2022-10-25 09:23:37 status installed libksba8:amd64 1.5.0-3+deb11u1
